"Data licence information","Data from Water Survey of Canada has been acquired from Environment Canada (https://www.ec.gc.ca/rhc-wsc/default.asp?lang=En&n=9018B5EC-1). This data is a copy of an official work that is published by the Government of Canada and the reproduction has not been produced in affiliation with or with the endorsement of the Government of Canada. For more information on the terms and conditions of the data please see: http://www.ec.gc.ca/default.asp?lang=En&n=12345678-1&xsl=mainhomeitem&xml=5830C36B-1773-4E3E-AF8C-B21F54633E0A. Any reliance you place upon the information contained here is your sole responsibility and strictly at your own risk. In no event will the original data custodian, BC Oil and Gas Commission, Ministry of Forests, Lands and Natural Resource Operations or Foundry Spatial Ltd. be liable for any loss or damage whatsoever, including without limitation, indirect or consequential loss or damage, arising from reliance upon the data or derived information."

"Name","Stave River Above Stave Lake"
"Station id","08MH147"
"Network","Water Survey of Canada"
"Status","Current"
"Drainage area",290
"Operation","Not Available"
"Latitude",49.55594
"Longitude",-122.32344
"Description","Not Available"
"QA","1 - quality checked, 0 - unchecked quality"
"Date range","1983-2021"
"Drainage Area (km²)",290

"Analysis","Datetime","Value","QA"
"Discharge (m3/s)","1983-02-03 00:00:00",6.59000015258789,1
"Discharge (m3/s)","1983-02-04 00:00:00",6.40000009536743,1
"Discharge (m3/s)","1983-02-05 00:00:00",5.92999982833862,1
"Discharge (m3/s)","1983-02-06 00:00:00",6.21000003814697,1
"Discharge (m3/s)","1983-02-07 00:00:00",7.03999996185303,1
"Discharge (m3/s)","1983-02-08 00:00:00",6.30000019073486,1
"Discharge (m3/s)","1983-02-09 00:00:00",6.34000015258789,1
"Discharge (m3/s)","1983-02-10 00:00:00",10,1
"Discharge (m3/s)","1983-02-11 00:00:00",95.9000015258789,1
"Discharge (m3/s)","1983-02-12 00:00:00",155,1
"Discharge (m3/s)","1983-02-13 00:00:00",84,1
"Discharge (m3/s)","1983-02-14 00:00:00",48.7000007629395,1
"Discharge (m3/s)","1983-02-15 00:00:00",33.2999992370605,1
"Discharge (m3/s)","1983-02-16 00:00:00",33.2999992370605,1
"Discharge (m3/s)","1983-02-17 00:00:00",48.7999992370605,1
"Discharge (m3/s)","1983-02-18 00:00:00",48,1
"Discharge (m3/s)","1983-02-19 00:00:00",25.3999996185303,1
"Discharge (m3/s)","1983-02-20 00:00:00",28.3999996185303,1
"Discharge (m3/s)","1983-02-21 00:00:00",18.2000007629395,1
